"","X","pitcher_name"
"368",368,"Burke Badenhop"
"369",369,"Greg Smith"
"370",370,"Fernando Hernandez"
"371",371,"Mike Pelfrey"
"372",372,"Jae Kuk Ryu"
"373",373,"Hideo Nomo"
"374",374,"Joey Devine"
"375",375,"Jesse Carlson"
"376",376,"Mike Timlin"
"377",377,"Jailen Peguero"
"378",378,"Luis Mendoza"
"379",379,"Jorge Campillo"
"380",380,"Chad Cordero"
"381",381,"Jeff Niemann"
"382",382,"Jim Johnson"
"383",383,"Clay Rapada"
"384",384,"Francisco Liriano"
"385",385,"Joel Pineiro"
"386",386,"Scott Feldman"
"387",387,"B.J. Ryan"
"388",388,"Wes Littleton"
"389",389,"Randy Johnson"
"390",390,"R.A. Dickey"
"391",391,"Buddy Carlyle"
"392",392,"Kevin Cameron"
"393",393,"Arthur Rhodes"
"394",394,"Kirk Saarloos"
"395",395,"Duaner Sanchez"
"396",396,"Vinnie Chulk"
"397",397,"Armando Galarraga"
"398",398,"Tom Mastny"
"399",399,"Alex Serrano"
"400",400,"Kurt Birkins"
"401",401,"Brandon Morrow"
"402",402,"David Purcey"
"403",403,"Joel Peralta"
"404",404,"Mitch Stetter"
"405",405,"Edwar Ramirez"
"406",406,"Doug Waechter"
"407",407,"Shawn Hill"
"408",408,"Shawn Camp"
"409",409,"Luke Hochevar"
"410",410,"Yovani Gallardo"
"411",411,"Chris Bootcheck"
"412",412,"Matt Belisle"
"413",413,"Tim Byrdak"
"414",414,"David Pauley"
"415",415,"Craig Hansen"
"416",416,"Frank Francisco"
"417",417,"Justin Masterson"
"418",418,"Cory Wade"
"419",419,"Jack Cassel"
"420",420,"Michael O'Connor"
"421",421,"Josh Newman"
"422",422,"Jose Capellan"
"423",423,"Sidney Ponson"
"424",424,"Bobby Korecky"
"425",425,"Jeremy Sowers"
"426",426,"Dallas Braden"
"427",427,"Ehren Wassermann"
"428",428,"Pat Misch"
"429",429,"Horacio Ramirez"
"430",430,"Lance Cormier"
"431",431,"Alberto Castillo"
"432",432,"D.J. Carrasco"
"433",433,"Rocky Cherry"
"434",434,"Aaron Laffey"
"435",435,"Bill Bray"
"436",436,"Max Scherzer"
"437",437,"John Van Benschoten"
"438",438,"Garrett Olson"
"439",439,"Bob McCrory"
"440",440,"Chris Britton"
"441",441,"Francisco Cruceta"
"442",442,"Nick Adenhart"
"443",443,"Chad Fox"
"444",444,"Jo-Jo Reyes"
"445",445,"Jorge De La Rosa"
"446",446,"Jose Veras"
"447",447,"A.J. Murray"
"448",448,"Sean Gallagher"
"449",449,"Darrell Rasner"
"450",450,"Scott Kazmir"
"451",451,"Mike Parisi"
"452",452,"Freddy Dolsi"
"453",453,"Sean Burnett"
"454",454,"Alberto Arias"
"455",455,"Shawn Estes"
"456",456,"Billy Sadler"
"457",457,"Yhency Brazoban"
"458",458,"Kei Igawa"
"459",459,"Scott Eyre"
"460",460,"Glen Perkins"
"461",461,"Greg Reynolds"
"462",462,"Sean Henn"
"463",463,"Douglas Mathis"
"464",464,"Marino Salas"
"465",465,"Armando Benitez"
"466",466,"John Lackey"
"467",467,"Jose Arredondo"
"468",468,"Claudio Vargas"
"469",469,"Alexander Hinshaw"
"470",470,"Chris Perez"
"471",471,"Fernando Nieve"
"472",472,"Phil Stockman"
"473",473,"Mark DiFelice"
"474",474,"Zach Jackson"
"475",475,"Jose Ascanio"
"476",476,"Bartolo Colon"
"477",477,"Mike Adams"
"478",478,"Brian Sanches"
"479",479,"Tim Dillard"
"480",480,"Kameron Loe"
"481",481,"Josh Banks"
"482",482,"Jared Wells"
"483",483,"Charlie Manning"
"484",484,"Eulogio De La Cruz"
"485",485,"Clayton Kershaw"
"486",486,"Scott Elarton"
"487",487,"Joe Nelson"
"488",488,"Edward Mujica"
"489",489,"Neal Cotts"
"490",490,"Neal Musser"
"491",491,"Kiko Calero"
"492",492,"Grant Balfour"
"493",493,"Kyle Davies"
"494",494,"Brad Ziegler"
"495",495,"Scott Patterson"
"496",496,"Robinson Tejeda"
"497",497,"Justin Hampson"
"498",498,"Carlos Guevara"
"499",499,"Gary Majewski"
"500",500,"Radhames Liz"
"501",501,"Daniel Ray Herrera"
"502",502,"Casey Fossum"
"503",503,"Mark Worrell"
"504",504,"Dan Giese"
"505",505,"Elizardo Ramirez"
"506",506,"Rick Bauer"
"507",507,"Homer Bailey"
"508",508,"Mitchell Boggs"
"509",509,"Ryan Tucker"
"510",510,"Jeff Fulchino"
"511",511,"Garrett Mock"
"512",512,"Tyler Clippard"
"513",513,"Jeff Ridgway"
"514",514,"Eric Hurley"
"515",515,"Billy Buckner"
"516",516,"Aaron Miles"
"517",517,"Charlie Morton"
"518",518,"Carlos Rosa"
"519",519,"Eddie Bonine"
"520",520,"Leo Rosales"
"521",521,"Fernando Rodney"
"522",522,"Adam Russell"
"523",523,"Michael Gonzalez"
"524",524,"Eric Stults"
"525",525,"Joel Zumaya"
"526",526,"Daryl Thompson"
"527",527,"Chris Smith"
"528",528,"Ryan Bukvich"
"529",529,"Steven Shell"
"530",530,"T.J. Beam"
"531",531,"Brian Falkenborg"
"532",532,"Sergio Romo"
"533",533,"Fernando Cabrera"
"534",534,"Runelvys Hernandez"
"535",535,"Jimmy Barthmaier"
"536",536,"John Parrish"
"537",537,"Ty Taubenheim"
"538",538,"David Robertson"
"539",539,"Mark Mulder"
"540",540,"Connor Robertson"
"541",541,"Tony Armas"
"542",542,"Romulo Sanchez"
"543",543,"Clay Hensley"
"544",544,"Cesar Jimenez"
"545",545,"Collin Balester"
"546",546,"Cedrick Bowers"
"547",547,"Warner Madrigal"
"548",548,"Osiris Matos"
"549",549,"Brian Slocum"
"550",550,"J.A. Happ"
"551",551,"Jerry Blevins"
"552",552,"Jamie Burke"
"553",553,"Christopher Volstad"
"554",554,"Vladimir Nunez"
"555",555,"Chad Paronto"
"556",556,"R.J. Swindle"
"557",557,"Matt Harrison"
"558",558,"Josh Johnson"
"559",559,"Jaime Garcia"
"560",560,"Joselo Diaz"
"561",561,"Yoslan Herrera"
"562",562,"Matt Ginter"
"563",563,"Jason Johnson"
"564",564,"Geno Espineli"
"565",565,"Juan Morillo"
"566",566,"Tony PenaJr."
"567",567,"Clayton Richard"
"568",568,"Jeff Samardzija"
"569",569,"Mike Hampton"
"570",570,"Brandon Knight"
"571",571,"Valerio De Los Santos"
"572",572,"Jason Davis"
"573",573,"Chris Carpenter"
"574",574,"Scott Richmond"
"575",575,"Anibal Sanchez"
"576",576,"Jeff Karstens"
"577",577,"Tommy Hunter"
"578",578,"Jake Woods"
"579",579,"Eddie Kunz"
"580",580,"Dan Meyer"
"581",581,"Steven Register"
"582",582,"Chris Waters"
"583",583,"Shane Loux"
"584",584,"Les Walrond"
"585",585,"Gio Gonzalez"
"586",586,"Brian Stokes"
